uid,register_date,first_order_date,gender,city,province,country,order_count,total_amount,last_order_date
54993,2011-11-02,2013-12-24,男,.,北京,CN,210,580717,2019-03-31
28065,2012-02-19,2012-08-02,男,,北京,CN,140,293678,2019-03-25
55106,2012-02-01,2012-08-29,男,.,北京,CN,135,283712,2019-03-21
21189,2013-08-22,2013-08-23,男,Los Angeles,CA,US,23,281336,2018-12-26
39546,2014-04-10,2014-04-15,男,贵阳,贵州,CN,152,309928,2019-03-27
56972,2013-02-09,2014-09-29,男,广州,广东,CN,92,294585,2019-01-13
44924,2011-03-22,2011-03-29,男,乌鲁木齐市,新疆,CN,101,287042,2019-03-31
22631,2015-04-09,2015-04-09,女,温州市,浙江,CN,73,287230,2019-03-29
32197,2016-06-06,2016-06-30,男,DRANCY,,FR,56,321489,2019-03-26
31645,2015-07-05,2015-07-05,女,温州,浙江,CN,64,375074,2019-03-17
58877,2015-11-18,2015-11-20,女,PARIS,PARIS,FR,43,262013,2019-03-10
37994,2009-11-13,2009-12-02,男,北京,.,CN,145,271438,2019-03-26
28012,2011-11-23,2012-11-17,男,SAN MARINO,CA,US,29,321529,2019-01-25
54943,2011-10-25,2012-10-26,男,深圳,广东,CN,118,179514,2019-03-29
57881,2015-02-01,2015-02-01,女,广州,广东,CN,50,270067,2019-03-30
1254,2013-03-28,2013-04-05,男,BOWLAND HEIGHTS,CALIFORNIA,US,22,234721,2019-01-27
8253,2015-07-15,2015-08-20,男,乌鲁木齐,新疆,CN,101,172231,2019-03-25
58899,2015-11-10,2016-02-23,女,PARIS,,FR,40,284160,2019-02-16
26955,2011-04-06,2012-02-22,男,乌鲁木齐市,新疆,CN,64,169358,2019-03-30
41616,2016-08-28,2016-10-21,男,东莞,广东,CN,38,332896,2019-03-08
21501,2013-07-30,2013-11-21,男,.,北京,CN,106,167113,2019-03-28
41281,2016-06-06,2016-06-08,男,VECHEL,NORD BRABANT,AN,23,214590,2019-03-26
47229,2010-04-10,2010-04-10,男,广州,广东,CN,94,305250,2019-03-09
28474,2015-04-13,2015-04-13,男,,CA,US,20,222380,2019-01-18
58472,2015-02-14,2015-03-01,女,,,FR,44,281837,2019-03-15
13942,2015-10-14,2015-11-01,男,PARIS,FRANCE,FR,62,243674,2019-03-15
45075,2012-02-01,2012-03-22,男,湛江,广东,CN,213,187917,2019-03-29
47114,2010-01-15,2010-03-17,男,.,北京,CN,74,148685,2019-03-21
54619,2011-01-07,2011-01-08,男,广州,广东,CN,101,159129,2019-03-14
12349,2013-06-16,2013-06-27,男,深圳,广东,CN,87,149254,2019-03-21
35883,2011-04-11,2012-04-17,男,乌鲁木齐市,新疆,CN,53,144076,2019-03-30
56091,2009-11-25,2010-02-10,女,广州市,广东省,CN,95,149053,2019-03-24
2137,2010-04-11,2010-05-03,男,广州,广东,CN,131,220948,2019-03-16
27708,2011-03-20,2011-03-25,男,深圳,广东,CN,95,148227,2019-03-29
28014,2011-12-01,2016-01-07,女,Paris,,FR,47,285144,2019-03-29
3539,2014-10-13,2014-10-13,男,UPLAND,CALIFORNIA,US,25,220389,2018-12-15
56149,2010-02-13,2010-03-06,男,番禺,广东,CN,24,189813,2019-02-27
44936,2011-03-30,2012-05-01,男,乌鲁木齐市,新疆,CN,54,141012,2018-11-28
62751,2012-05-07,2012-08-11,男,北京,北京,CN,166,229303,2019-03-31
40066,2014-02-27,2014-03-04,男,广州,广东,CN,81,140819,2019-02-27
18793,2011-04-25,2011-06-02,男,.,北京,CN,98,137876,2019-03-30
13963,2016-01-18,2016-04-02,男,广州,广东,CN,35,201141,2019-03-29
46084,2012-01-04,2012-03-30,男,广州,广东,CN,95,140803,2019-03-29
58798,2015-05-04,2015-05-14,男,广州,广东,CN,46,256766,2019-03-19
56089,2009-12-04,2010-02-27,男,广州市,广东省,CN,54,160825,2019-02-23
58693,2015-12-11,2016-08-05,男,PARIS,,FR,21,185493,2019-03-10
28780,2017-07-13,2017-07-13,男,广州,广东,CN,110,187588,2019-03-31
27836,2011-07-16,2011-08-18,男,.,北京,CN,134,140356,2019-03-25
38073,2010-01-26,2010-03-01,男,长沙,湖南,CN,107,135811,2019-03-30
22629,2015-07-15,2015-07-15,男,SUMIDA-KU,TOKYO-TO,JP,70,219282,2018-06-02
12326,2013-05-21,2013-06-12,男,.,北京,CN,189,235687,2019-03-31
24222,2017-01-07,2017-02-22,男,广州,广东,CN,87,132283,2019-03-28
916,2011-11-18,2012-05-31,男,番禺,广东,CN,29,211369,2019-03-21
45008,2012-12-09,2012-12-09,男,乌鲁木齐,新疆,CN,48,130135,2019-03-31
11523,2012-07-05,2012-07-16,男,深圳,广东,CN,68,135374,2019-03-31
56088,2009-12-03,2010-01-13,男,广州,广东,CN,111,216560,2019-03-28
56573,2012-11-25,2012-12-13,女,广州,广东,CN,69,131660,2019-03-10
38883,2013-02-01,2013-02-01,男,广州,广东,CN,126,204371,2019-03-28
38035,2009-12-28,2010-05-11,男,深圳,广东省,CN,55,153868,2019-03-17
11034,2010-01-26,2010-03-09,男,北京,.,CN,76,214921,2019-03-11
47143,2010-02-17,2010-02-17,男,.,北京,CN,68,127335,2019-03-17
29033,2009-11-19,2009-11-19,男,HK,HK,HK,77,136121,2019-03-31
16812,2015-06-09,2015-06-27,男,PUCHONG,Selangor Darul Ehsan,MY,84,186821,2019-03-26
5241,2016-05-13,2016-05-13,男,杭州市,浙江,CN,96,204612,2019-03-18
49208,2015-05-28,2015-10-16,男,北京,北京,CN,30,164001,2019-03-24
38241,2010-08-13,2010-08-14,男,广州,广东,CN,85,121097,2019-03-13
38456,2012-11-14,2012-11-15,男,TORRANCE,CALIFORNIA,US,32,182563,2019-01-04
44377,2015-07-10,2015-07-13,男,成都,四川,CN,34,170121,2019-03-13
49737,2015-10-30,2015-10-31,男,石狮,福建,CN,197,275800,2019-03-31
47919,2013-12-14,2015-05-20,女,,VIC,AU,30,184194,2019-03-25
23528,2017-08-15,2017-08-15,男,LOS ANGELES,CA,US,18,209911,2019-01-30
58088,2014-10-19,2014-10-22,男,深圳,广东,CN,64,137636,2019-03-13
51079,2016-12-20,2016-12-20,男,上海,上海,CN,149,219108,2019-03-28
19420,2012-11-17,2016-08-22,男,长沙市,湖南,CN,61,143186,2019-03-19
58753,2015-10-13,2017-06-24,男,PARIS,PARIS,FR,36,209839,2019-02-25
13517,2015-08-14,2015-12-29,女,PARIS,PARIS,FR,22,170406,2019-03-10
56048,2018-03-15,2018-03-17,男,Haarlem,Noord-Holland,NL,23,169224,2019-03-03
50434,2016-06-08,2016-06-21,男,LOS ANGELES,,US,16,163191,2019-03-14
13869,2015-10-26,2015-10-27,男,湛江,广东,CN,102,140220,2019-03-24
47432,2010-10-21,2011-02-21,男,广州,广东,CN,81,159255,2019-03-26
60658,2017-06-29,2017-06-29,女,MANTES LA VILLE,FR,FR,30,208687,2019-03-26
9744,2011-07-13,2013-07-11,男,.,北京,CN,127,170611,2019-03-20
18111,2013-09-19,2013-09-19,男,乌鲁木齐,新疆,CN,56,116728,2019-03-30
42444,2017-04-25,2017-05-18,男,东莞,广东,CN,79,208797,2019-03-31
11055,2010-02-17,2010-03-08,男,阳江,广东,CN,97,155881,2019-03-23
47107,2009-11-18,2009-11-18,女,深圳,广东,CN,158,205159,2019-03-30
62880,2011-05-08,2014-01-16,男,福州,福建,CN,64,115300,2019-03-25
49441,2015-07-03,2015-07-03,男,深圳市,广东,CN,51,137500,2019-03-19
20569,2012-06-27,2015-03-12,女,重庆,重庆,CN,29,157056,2018-11-09
47687,2012-10-04,2012-10-24,男,广州,广东,CN,69,114077,2019-03-31
37305,2013-06-13,2013-06-13,男,广州,广东,CN,88,122619,2019-03-17
58189,2016-01-31,2016-01-31,男,南宁,广西,CN,42,162453,2019-03-17
25857,2012-01-26,2012-01-26,男,.,北京,CN,129,109813,2019-03-22
951,2011-11-28,2011-11-28,男,.,北京,CN,67,123464,2019-03-18
4178,2015-04-13,2018-02-21,男,SIPASDENA,CA91030,US,12,146784,2019-02-08
2010,2009-11-26,2010-02-13,男,广州市,广东,CN,100,162250,2019-03-28
38290,2010-09-23,2011-05-17,男,广州,广东,CN,69,118726,2019-03-21
57622,2016-04-13,2016-04-13,男,Zwijndrecht,ZUID HOLLAND,NL,17,125349,2019-02-27
